Date,50T
6/15/2017,28
6/16/2017,25
6/17/2017,22
6/18/2017,16
6/19/2017,19
6/20/2017,23
6/21/2017,18
6/22/2017,18
6/23/2017,13
6/24/2017,14
6/25/2017,15
6/26/2017,15
6/27/2017,16
6/28/2017,13
6/29/2017,19
6/30/2017,16
7/1/2017,17
7/2/2017,18
7/3/2017,16
7/4/2017,17
7/5/2017,16
7/6/2017,15
7/7/2017,11
7/8/2017,16
7/9/2017,13
7/10/2017,18
7/11/2017,20
7/12/2017,20
7/13/2017,17
7/14/2017,18
7/15/2017,21
7/16/2017,18
7/17/2017,17
7/18/2017,17
7/19/2017,17
7/20/2017,19
7/21/2017,19
7/22/2017,14
7/23/2017,18
7/24/2017,18
7/25/2017,16
7/26/2017,15
7/27/2017,18
7/28/2017,16
7/29/2017,19
7/30/2017,22
7/31/2017,22
8/1/2017,25
8/2/2017,22
8/3/2017,24
8/4/2017,20
8/5/2017,18
8/6/2017,19
8/7/2017,18
8/8/2017,18
8/9/2017,17
8/10/2017,18
8/11/2017,15
8/12/2017,13
8/13/2017,14
8/14/2017,18
8/15/2017,16
8/16/2017,18
8/17/2017,16
8/18/2017,23
8/19/2017,18
8/20/2017,13
8/21/2017,15
8/22/2017,18
8/23/2017,16
8/24/2017,19
8/25/2017,17
8/26/2017,18
8/27/2017,14
8/28/2017,17
8/29/2017,23
8/30/2017,23
8/31/2017,19
9/1/2017,19
9/2/2017,20
9/3/2017,14
9/4/2017,14
9/5/2017,16
9/6/2017,19
9/7/2017,16
9/8/2017,17
9/9/2017,15
9/10/2017,22
9/11/2017,29
9/12/2017,29
9/13/2017,29
9/14/2017,23
9/15/2017,21
9/16/2017,15
9/17/2017,11
9/18/2017,18
9/19/2017,16
9/20/2017,25
9/21/2017,35
9/22/2017,25
9/23/2017,25
9/24/2017,22
9/25/2017,14
9/26/2017,13
9/27/2017,24
9/28/2017,16
9/29/2017,22
9/30/2017,30
10/1/2017,30
10/2/2017,23
10/3/2017,22
10/4/2017,19
10/5/2017,19
10/6/2017,26
10/7/2017,27
10/8/2017,28
10/9/2017,22
10/10/2017,27
10/11/2017,21
10/12/2017,34
10/13/2017,44
10/14/2017,20
10/15/2017,20
10/16/2017,16
10/17/2017,21
10/18/2017,25
10/19/2017,25
10/20/2017,19
10/21/2017,32
10/22/2017,25
10/23/2017,19
10/24/2017,20
10/25/2017,27
10/26/2017,35
10/27/2017,45
10/28/2017,37
10/29/2017,49
10/30/2017,46
10/31/2017,42
11/1/2017,43
11/2/2017,43
11/3/2017,40
11/4/2017,51
11/5/2017,33
11/6/2017,48
11/7/2017,38
11/8/2017,36
11/9/2017,29
11/10/2017,28
11/11/2017,21
11/12/2017,26
11/13/2017,33
11/14/2017,39
11/15/2017,38
11/16/2017,24
11/17/2017,32
11/18/2017,45
11/19/2017,37
11/20/2017,23
11/21/2017,19
11/22/2017,27
11/23/2017,17
11/24/2017,20
11/25/2017,29
11/26/2017,31
11/27/2017,28
11/28/2017,33
11/29/2017,27
11/30/2017,30
12/1/2017,30
12/2/2017,31
12/3/2017,26
12/4/2017,27
12/5/2017,20
12/6/2017,33
12/7/2017,35
12/8/2017,38
12/9/2017,25
12/10/2017,50
12/11/2017,69
12/12/2017,38
12/13/2017,32
12/14/2017,34
12/15/2017,42
12/16/2017,38
12/17/2017,15
12/18/2017,33
12/19/2017,42
12/20/2017,51
12/21/2017,53
12/22/2017,58
12/23/2017,62
12/24/2017,59
12/25/2017,30
12/26/2017,60
12/27/2017,45
12/28/2017,29
12/29/2017,24
12/30/2017,24
12/31/2017,23
1/1/2018,27
1/2/2018,30
1/3/2018,40
1/4/2018,45
1/5/2018,51
1/6/2018,48
1/7/2018,19
1/8/2018,16
1/9/2018,22
1/10/2018,17
1/11/2018,35
1/12/2018,37
1/13/2018,44
1/14/2018,45
1/15/2018,55
1/16/2018,67
1/17/2018,87
1/18/2018,59
1/19/2018,59
1/20/2018,51
1/21/2018,72
1/22/2018,77
1/23/2018,61
1/24/2018,61
1/25/2018,34
1/26/2018,22
1/27/2018,19
1/28/2018,19
1/29/2018,20
1/30/2018,21
1/31/2018,21
2/1/2018,35
2/2/2018,51
2/3/2018,52
2/4/2018,59
2/5/2018,62
2/6/2018,51
2/7/2018,86
2/8/2018,76
2/9/2018,48
2/10/2018,43
2/11/2018,44
2/12/2018,55
2/13/2018,46
2/14/2018,72
2/15/2018,60
2/16/2018,48
2/17/2018,47
2/18/2018,41
2/19/2018,35
2/20/2018,17
2/21/2018,21
2/22/2018,27
2/23/2018,33
2/24/2018,41
2/25/2018,36
2/26/2018,44
2/27/2018,33
2/28/2018,42
3/1/2018,28
3/2/2018,27
3/3/2018,19
3/4/2018,19
3/5/2018,18
3/6/2018,20
3/7/2018,22
3/8/2018,30
3/9/2018,31
3/10/2018,43
3/11/2018,61
3/12/2018,80
3/13/2018,43
3/14/2018,30
3/15/2018,27
3/16/2018,26
3/17/2018,20
3/18/2018,16
3/19/2018,16
3/20/2018,25
3/21/2018,26
3/22/2018,34
3/23/2018,45
3/24/2018,50
3/25/2018,37
3/26/2018,31
3/27/2018,43
3/28/2018,33
3/29/2018,28
3/30/2018,32
3/31/2018,33
4/1/2018,42
4/2/2018,41
4/3/2018,45
4/4/2018,29
4/5/2018,34
4/6/2018,43
4/7/2018,19
4/8/2018,28
4/9/2018,45
4/10/2018,n/a
4/11/2018,30
4/12/2018,21
4/13/2018,19
4/14/2018,20
4/15/2018,20
4/16/2018,24
4/17/2018,19
4/18/2018,31
4/19/2018,22
4/20/2018,20
4/21/2018,22
4/22/2018,17
4/23/2018,27
4/24/2018,23
4/25/2018,28
4/26/2018,24
4/27/2018,24
4/28/2018,21
4/29/2018,25
4/30/2018,19
5/1/2018,13
5/2/2018,15
5/3/2018,21
5/4/2018,22
5/5/2018,16
5/6/2018,16
5/7/2018,18
5/8/2018,22
5/9/2018,19
5/10/2018,17
5/11/2018,19
5/12/2018,28
5/13/2018,23
5/14/2018,22
5/15/2018,28
5/16/2018,18
5/17/2018,16
5/18/2018,20
5/19/2018,n/a
5/20/2018,n/a
5/21/2018,24
5/22/2018,25
5/23/2018,25
5/24/2018,16
5/25/2018,15
5/26/2018,15
5/27/2018,19
5/28/2018,22
5/29/2018,14
5/30/2018,16
5/31/2018,24
6/1/2018,18
6/2/2018,17
6/3/2018,14
6/4/2018,14
6/5/2018,15
6/6/2018,17
6/7/2018,16
6/8/2018,15
6/9/2018,13
6/10/2018,12
6/11/2018,12
6/12/2018,11
6/13/2018,13
6/14/2018,14
6/15/2018,18
6/16/2018,17
6/17/2018,20
6/18/2018,22
6/19/2018,24
6/20/2018,15
6/21/2018,15
6/22/2018,22
6/23/2018,22
6/24/2018,19
6/25/2018,15
6/26/2018,18
6/27/2018,19
6/28/2018,19
6/29/2018,21
6/30/2018,14
7/1/2018,16
7/2/2018,14
7/3/2018,15
7/4/2018,14
7/5/2018,16
7/6/2018,16
7/7/2018,20
7/8/2018,23
7/9/2018,20
7/10/2018,24
7/11/2018,16
7/12/2018,17
7/13/2018,16
7/14/2018,24
7/15/2018,19
7/16/2018,21
7/17/2018,23
7/18/2018,16
7/19/2018,15
7/20/2018,17
7/21/2018,20
7/22/2018,19
7/23/2018,23
7/24/2018,28
7/25/2018,22
7/26/2018,21
7/27/2018,22
7/28/2018,18
7/29/2018,20
7/30/2018,20
7/31/2018,21
8/1/2018,21
8/2/2018,23
8/3/2018,21
8/4/2018,18
8/5/2018,17
8/6/2018,18
8/7/2018,22
8/8/2018,30
8/9/2018,20
8/10/2018,19
8/11/2018,15
8/12/2018,14
8/13/2018,15
8/14/2018,16
8/15/2018,16
8/16/2018,18
8/17/2018,17
8/18/2018,11
8/19/2018,11
8/20/2018,15
8/21/2018,26
8/22/2018,23
8/23/2018,25
8/24/2018,21
8/25/2018,16
8/26/2018,15
8/27/2018,16
8/28/2018,20
8/29/2018,25
8/30/2018,14
8/31/2018,16
9/1/2018,20
9/2/2018,19
9/3/2018,16
9/4/2018,15
9/5/2018,18
9/6/2018,23
9/7/2018,23
9/8/2018,28
9/9/2018,34
9/10/2018,39
9/11/2018,21
9/12/2018,21
9/13/2018,22
9/14/2018,18
9/15/2018,21
9/16/2018,20
9/17/2018,16
9/18/2018,13
9/19/2018,16
9/20/2018,25
9/21/2018,31
9/22/2018,24
9/23/2018,20
9/24/2018,25
9/25/2018,26
9/26/2018,16
9/27/2018,16
9/28/2018,22
9/29/2018,30
9/30/2018,18
10/1/2018,19
10/2/2018,24
10/3/2018,38
10/4/2018,38
10/5/2018,17
10/6/2018,22
10/7/2018,26
10/8/2018,30
10/9/2018,30
10/10/2018,33
10/11/2018,30
10/12/2018,19
10/13/2018,33
10/14/2018,33
10/15/2018,23
10/16/2018,17
10/17/2018,22
10/18/2018,27
10/19/2018,39
10/20/2018,29
10/21/2018,14
10/22/2018,18
10/23/2018,21
10/24/2018,27
10/25/2018,33
10/26/2018,26
10/27/2018,29
10/28/2018,19
10/29/2018,26
10/30/2018,25
10/31/2018,29
11/1/2018,35
11/2/2018,40
11/3/2018,47
11/4/2018,46
11/5/2018,44
11/6/2018,39
11/7/2018,29
11/8/2018,20
11/9/2018,21
11/10/2018,24
11/11/2018,27
11/12/2018,38
11/13/2018,44
11/14/2018,40
11/15/2018,51
11/16/2018,28
11/17/2018,25
11/18/2018,37
11/19/2018,40
11/20/2018,35
11/21/2018,37
11/22/2018,36
11/23/2018,30
11/24/2018,30
11/25/2018,35
11/26/2018,35
11/27/2018,31
11/28/2018,25
11/29/2018,33
11/30/2018,41
12/1/2018,40
12/2/2018,37
12/3/2018,32
12/4/2018,48
12/5/2018,31
12/6/2018,31
12/7/2018,35
12/8/2018,23
12/9/2018,28
12/10/2018,30
12/11/2018,33
12/12/2018,25
12/13/2018,24
12/14/2018,28
12/15/2018,32
12/16/2018,27
12/17/2018,23
12/18/2018,25
12/19/2018,38
12/20/2018,59
12/21/2018,50
12/22/2018,39
12/23/2018,37
12/24/2018,33
12/25/2018,40
12/26/2018,47
12/27/2018,44
12/28/2018,46
12/29/2018,25
12/30/2018,24
12/31/2018,22
1/1/2019,22
1/2/2019,25
1/3/2019,28
1/4/2019,31
1/5/2019,34
1/6/2019,51
1/7/2019,58
1/8/2019,n/a
1/9/2019,n/a
1/10/2019,47
1/11/2019,83
1/12/2019,62
1/13/2019,70
1/14/2019,64
1/15/2019,48
